initial_angle_deg,recovered_angle_deg,signed_error_deg,absolute_error_deg,basin,iterations,final_objective,converged,wall_time_min
35.0,26.951373246738743,-36.04862675326126,36.04862675326126,low_basin_27,4,3.5887248947178563,False,9.391698607399787
40.0,41.73067652171066,-21.269323478289337,21.269323478289337,mid_basin_42,3,8.700251712414737,False,6.829828087366574
45.0,63.00037604921529,0.0003760492152906636,0.0003760492152906636,true_basin,6,4.3887601608449955e-09,True,9.910427478099882
50.0,62.999041681109475,-0.0009583188905253337,0.0009583188905253337,true_basin,4,2.8542531171904528e-08,True,6.773258709699925
55.0,63.00001805604289,1.8056042890179924e-05,1.8056042890179924e-05,true_basin,5,1.0178330400734126e-11,True,7.303637810866833
60.0,62.999041681109475,-0.0009583188905253337,0.0009583188905253337,true_basin,3,2.8542531171904528e-08,True,5.2476882159336435
65.0,63.00005632756004,5.6327560038482716e-05,5.6327560038482716e-05,true_basin,5,9.836204073465638e-11,True,7.323848692683289
70.0,63.00039768892738,0.000397688927378681,0.000397688927378681,true_basin,6,4.913402740225337e-09,True,9.793631697183203
75.0,62.999909853715316,-9.014628468406727e-05,9.014628468406727e-05,true_basin,9,2.5230056932556977e-10,True,14.05697069176628
80.0,83.22490594377608,20.22490594377608,20.22490594377608,high_basin_83,8,0.6414600748947371,True,12.692663411116518
