comparison,budget_candidates,random_best_mean,random_best_median,random_best_p05,random_best_p95,random_best_max,gradient_D_tau,fraction_of_replicates_beating_gradient,replicates
A_equal_candidates_best_run,76,0.26820109816640614,0.26897385716438293,0.2531512379646301,0.28068864345550537,0.2884654402732849,0.29586222767829895,0.0,2000
A_equal_candidates_median_run,40,0.2624397467970848,0.2630503624677658,0.242433562874794,0.2790413796901703,0.2884654402732849,0.29586222767829895,0.0,2000
B_equal_wallclock_best_run,8290,0.2880432253032923,0.2884654402732849,0.28633710741996765,0.2884654402732849,0.2884654402732849,0.29586222767829895,0.0,2000
B_equal_wallclock_median_run,4461,0.286136365622282,0.28633710741996765,0.28200268745422363,0.2884654402732849,0.2884654402732849,0.29586222767829895,0.0,2000
