initial_angle_deg,recovered_angle_deg,signed_error_deg,absolute_error_deg,basin,iterations,final_objective,converged,wall_time_min
35.0,29.009456348291884,-33.990543651708116,33.990543651708116,low_false_basin,6,2.3139775227253896,True,9.882889513133462
40.0,63.00002424148007,2.4241480069520094e-05,2.4241480069520094e-05,true_basin,12,1.7672779906163782e-11,True,19.20231292503328
45.0,63.00002110458665,2.1104586650722013e-05,2.1104586650722013e-05,true_basin,10,1.3128276243890014e-11,True,16.242690855933326
50.0,63.00011841580526,0.00011841580526095186,0.00011841580526095186,true_basin,5,4.2023987067985047e-10,True,8.361448363733507
55.0,63.000033146004164,3.314600416359781e-05,3.314600416359781e-05,true_basin,5,3.256908631676936e-11,True,7.468755471100061
60.0,63.00004052859314,4.0528593139299574e-05,4.0528593139299574e-05,true_basin,4,4.9100390420164786e-11,True,5.817826139649939
65.0,63.000366183536116,0.0003661835361157273,0.0003661835361157273,true_basin,5,4.0118909583330975e-09,True,8.57667614184999
70.0,63.000292093549255,0.0002920935492554122,0.0002920935492554122,true_basin,6,2.554776196150854e-09,True,10.013837865133246
75.0,63.000309567010696,0.0003095670106958437,0.0003095670106958437,true_basin,10,2.8646276739596743e-09,True,15.8372480989834
80.0,75.81654002088999,12.816540020889988,12.816540020889988,high_false_basin,16,7.16600690265942,False,25.92515827924993
