initial_angle_deg,recovered_angle_deg,signed_error_deg,absolute_error_deg,basin,iterations,final_objective,converged,wall_time_min
35.0,27.092346624934876,-35.907653375065124,35.907653375065124,low_basin_27,7,5.89382549099896,True,11.56592476204969
40.0,42.078849105986585,-20.921150894013415,20.921150894013415,mid_basin_42,5,14.980012729650264,False,13.26366727208321
45.0,63.00038603036002,0.0003860303600191628,0.0003860303600191628,true_basin,7,9.077560758630199e-09,True,12.767628424316838
50.0,63.00038519952459,0.00038519952458671014,0.00038519952458671014,true_basin,4,9.041792370378943e-09,True,6.845257244199941
55.0,63.000061228353296,6.12283532959168e-05,6.12283532959168e-05,true_basin,4,2.292169509754416e-10,True,6.808304327299993
60.0,63.00038519952459,0.00038519952458671014,0.00038519952458671014,true_basin,3,9.041792370378943e-09,True,5.23662650899981
65.0,63.00020783626213,0.0002078362621276142,0.0002078362621276142,true_basin,5,2.6339172232159314e-09,True,8.2933485797165
70.0,63.000095206885476,9.520688547581813e-05,9.520688547581813e-05,true_basin,6,5.531909375022792e-10,True,9.898615595666827
75.0,63.00034129532758,0.00034129532757987135,0.00034129532757987135,true_basin,9,7.09876260551745e-09,True,14.400918168550318
80.0,80.0,17.0,17.0,high_basin_83,1,27.991349332686436,False,4.233030438650166
