seed,case,x,y,sigma,noise_rms,relative_noise,recovered_angle_deg,signed_error_deg,absolute_error_deg,iterations,final_objective,converged,wall_time_min
2026,best,1.0,0.0,0.025,0.021062620512080677,0.026312605856789635,62.97488894874126,-0.025111051258740247,0.025111051258740247,8,0.007499870162519916,True,12.235190352816668
2026,worst,1.0,-1.0,0.025,0.021062620512080677,0.024730310349269802,63.05195377151744,0.05195377151743941,0.05195377151743941,6,0.007532867865841313,False,8.645902314150105
2027,best,1.0,0.0,0.025,0.024429450183451246,0.0305186381536212,62.90560285922515,-0.09439714077485206,0.09439714077485206,8,0.009536607290761346,True,12.20704677340012
2027,worst,1.0,-1.0,0.025,0.024429450183451246,0.028683414979264348,62.69143839363707,-0.30856160636292884,0.30856160636292884,8,0.009768200438622579,True,10.572477797433384
2028,best,1.0,0.0,0.025,0.029042508698872704,0.03628152935896634,62.90614091493946,-0.09385908506053653,0.09385908506053653,8,0.013727144992588149,True,12.135493864583259
2028,worst,1.0,-1.0,0.025,0.029042508698872704,0.03409975757919304,63.292056344417965,0.2920563444179649,0.2920563444179649,7,0.014062649684274084,False,10.45956854903343
2029,best,1.0,0.0,0.025,0.024153186666265106,0.03017351428661899,63.03996945831209,0.03996945831209331,0.03996945831209331,8,0.009810948311403537,True,12.199601742466621
2029,worst,1.0,-1.0,0.025,0.024153186666265106,0.02835904496489337,63.04759988744973,0.04759988744972787,0.04759988744972787,7,0.009909653864114501,False,10.072584937083109
2030,best,1.0,0.0,0.025,0.03268212718364046,0.040828344728110526,63.01413335062536,0.014133350625357366,0.014133350625357366,8,0.01814356035864775,True,12.195493296766653
2030,worst,1.0,-1.0,0.025,0.03268212718364046,0.038373152460405485,63.14062143052329,0.14062143052328935,0.14062143052328935,6,0.018092889368117867,True,7.615385340983388
