delta_alpha_min_deg,n_pairs,tau,effective_pairs,D_baseline,D_s_star,absolute_improvement,relative_improvement,hard_min_baseline,hard_min_s_star,hard_min_relative_improvement
5.0,325,0.018386974334945103,10.000000000181533,0.1365939825773239,0.15204350650310516,0.01544952392578125,0.11310545043252908,0.05804244801402092,0.06321869045495987,0.08918029163223026
7.5,300,0.032676688301808206,9.999999999722357,0.22890031337738037,0.29586222767829895,0.06696191430091858,0.2925374514036627,0.09047239273786545,0.15674233436584473,0.7324879957578848
10.0,276,0.05028120235273359,10.000000000338709,0.296792209148407,0.37453341484069824,0.07774120569229126,0.2619381617710113,0.09047239273786545,0.15674233436584473,0.7324879957578848
15.0,231,0.06146046844617103,9.999999999533166,0.3329879641532898,0.4046408534049988,0.07165288925170898,0.2151816190531254,0.09047239273786545,0.15674233436584473,0.7324879957578848
