alpha_deg,J_per_scalar_baseline,J_per_scalar_s_star_surrogate_v1,J_per_scalar_s_star_surrogate_v2,J_per_scalar_s_star_cfd_refined
20.0,0.22367458818397368,0.25016805551945653,0.24805506900407154,0.2233231572777885
21.0,0.22025670305507367,0.26489815393437127,0.26888478519620085,0.23689716539216107
22.0,0.2146326544716514,0.2714380426272648,0.2781443536897485,0.23627924282414461
23.0,0.206722087864255,0.2656568429674745,0.27323303854528236,0.22853620535398375
24.0,0.19801878400710377,0.24960235143035714,0.27045204740408274,0.2296344600058709
25.0,0.19002036809350725,0.23131737105483702,0.26241476614952414,0.22381634606978942
26.0,0.18311078176719722,0.21903024423532386,0.24885201091949888,0.20435828058810493
27.0,0.17944724047504487,0.21970688315048204,0.2429247595685105,0.19977272995822007
28.0,0.1876774949633385,0.23986428526078854,0.26168671979534697,0.23344944487378078
29.0,0.2183519508152237,0.2846215067638444,0.3099067468497905,0.30030490174149416
30.0,0.2722315966342941,0.32723072884634397,0.374475720114385,0.37657074226282156
31.0,0.32326261186442784,0.37778645310319403,0.4295604277713946,0.4399988629027078
32.0,0.36068050306475324,0.41923493292315195,0.46329488838326194,0.4783023185253354
33.0,0.38860104622894853,0.4512520248770396,0.4861659818162625,0.5028243969686879
34.0,0.4134696608564492,0.47938234087225656,0.5066401787003713,0.5230100568369174
35.0,0.43877493079157465,0.5086883032885521,0.5290192552771011,0.5419611346458764
36.0,0.4640787731911544,0.5469111169611277,0.5521120981996647,0.5557824201861403
37.0,0.47738038298999247,0.5862073864854203,0.5622845018957182,0.5544858250181453
38.0,0.47042974614269095,0.5986806476487243,0.555668115475153,0.5380469903711214
39.0,0.4550562973949967,0.589804429324982,0.5406929954551735,0.5219579082673543
40.0,0.44286194001859264,0.5749642466994793,0.525376484728733,0.511596967075285
41.0,0.4363155112487577,0.5627023182511883,0.5157589741406217,0.5057805278257808
42.0,0.4351782539107993,0.5587467859624897,0.5146782922770551,0.5061594554883895
43.0,0.43708969026255956,0.5609800938892601,0.519011990447124,0.5106005786597054
44.0,0.4352357489498382,0.5598129557369511,0.5197832841516432,0.510655149450386
45.0,0.4206159653422022,0.5436537363199481,0.5059612238827453,0.49493839887811647
46.0,0.3901880825927671,0.5079284422476559,0.47427844569687877,0.45780390206451466
47.0,0.35042097233697256,0.45980662705514674,0.42943966163390285,0.4030786372583564
48.0,0.30726407827469987,0.4011387991302254,0.37162816528940673,0.34144557995012015
49.0,0.2697649027023078,0.33982834417006486,0.3155822779588789,0.2867509724029813
50.0,0.2490581759916406,0.30319658810842426,0.28131954781141066,0.25519575593858407
51.0,0.24664345553834371,0.29700890876505126,0.27358783562249755,0.24850381239104763
52.0,0.2533453827684008,0.3057496253492185,0.2796680949975022,0.2540636274198379
53.0,0.25242690337786206,0.3011292763010509,0.27487023431648316,0.24974290369966043
54.0,0.22904572838835885,0.2593718806488865,0.23820797422452653,0.21813687620598313
55.0,0.18232959047802044,0.18898787126087582,0.1763244672021712,0.16819164498364292
56.0,0.12566190370987168,0.12052119829481993,0.11831083368497328,0.12262172063129118
57.0,0.07884634236628883,0.07408444303771275,0.07767926518380977,0.0870495261909533
58.0,0.05027327596365598,0.047450981375788806,0.05023371852991143,0.05966018055894229
59.0,0.03255346489261145,0.030296358310392086,0.030978165926893408,0.03821231774164179
60.0,0.018757686167738864,0.01681938954618523,0.01668143208166956,0.02072118144254862
61.0,0.008373664729590845,0.007193816776461423,0.00709261456164501,0.008688440141889627
62.0,0.0020032060293679573,0.0016738908434228434,0.0016596012981787006,0.002023380651945652
63.0,0.0,0.0,0.0,0.0
64.0,0.0008556952728120251,0.0006783763096561178,0.0007586413405793055,0.0009382020367718046
65.0,0.0015008958694361324,0.0011500325220735231,0.001578105905299897,0.0019771220262617788
66.0,0.0022975839585470813,0.0018062011407001578,0.0028514469505423346,0.0035828188821189918
67.0,0.006655465106767108,0.005587100349524203,0.00778578335072194,0.009552318566928402
68.0,0.026575783568994392,0.024732585638137884,0.027484065211626708,0.03018314888583985
69.0,0.07759045868608946,0.08374718450086846,0.0714957637245772,0.06852036885348152
70.0,0.14943562012261097,0.1842868139451069,0.12310226214270714,0.10868741316982304
71.0,0.21741736874251685,0.28728077147598274,0.16723046957792345,0.13932046429130746
72.0,0.2760189111509059,0.36767977423121956,0.20608691876108232,0.1642074876408526
73.0,0.33094035236490493,0.43878973349783257,0.2534054949683747,0.19499615894739003
74.0,0.377889399378602,0.5071713991425746,0.32753708785611535,0.2560635005294062
75.0,0.43396906802406515,0.5739760637232054,0.45821205486143085,0.39258562323704715
76.0,0.5426412130182215,0.6550928024631867,0.6268995596247386,0.5761928877346648
77.0,0.6668441604679094,0.7507634823832177,0.7674970470467319,0.7234181911283669
78.0,0.7325751717832085,0.8514847378258054,0.8734560740761544,0.8773738166936418
79.0,0.7861947195848396,0.8803808662936371,1.0171235520135007,0.9869328816761737
80.0,0.8581748004451096,0.9235077927555413,1.0155238944628011,0.9957308417385946
81.0,0.7454380959925576,0.8482069481882855,0.9216470396520264,0.910081571670859
82.0,0.3765398866211644,0.5016280271530429,0.37420447494720444,0.34842820544245556
83.0,0.04781574937843525,0.049656601397585015,0.08834067570320682,0.09405859084503163
84.0,0.1101071954645941,0.14090762964131973,0.0990256136148325,0.09171835419234561
85.0,0.23457259347176057,0.2732869058702552,0.13382943344505555,0.11110994854885355
