start,x1_initial,y1_initial,x2_initial,y2_initial,x1_final,y1_final,x2_final,y2_final,D_tau_initial,D_tau_final,hard_min_initial,hard_min_final,N_eff_final,top1_weight_final,top10_weight_final,separation_final,penalty_active,iterations,objective_gradient_evaluations,converged,status_message,wall_time_s
F01_baseline,1.0,-0.4,1.0,0.4,1.1812879467574644,-0.06310746264912788,1.3420741972586572,-0.2175945083387741,0.1438700258731842,0.18145842850208282,0.0642598420381546,0.09944331645965576,11.809791137959522,0.2131342420894686,0.8967895677170986,0.22297637909910356,False,18,66,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.214973144000396
F02_near_wide,1.0,-0.9,1.0,0.9,1.1812265395075208,-0.06302701067583633,1.3421170224630226,-0.21744516190868926,0.05334915220737457,0.18145844340324402,0.0087667191401124,0.09943890571594238,11.81067341769624,0.2132021727304226,0.8967095863417636,0.22300384063021617,False,18,38,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.61826795100933
F03_streamwise,1.0,0.0,2.0,0.0,1.360849402920231,-0.1765543299018698,2.468886413709658,-0.12740634841550968,0.1471555083990097,0.20431554317474365,0.06661826372146606,0.1250806301832199,15.88448959967932,0.1745053545454376,0.8148252418272706,1.109126476720916,False,11,52,False,ABNORMAL: ,42.31969177999417
F04_mid_vertical,2.0,-0.5,2.0,0.5,2.446568857075842,-0.09027615234877598,2.788998795545197,-0.04274748315133701,0.12643149495124817,0.21438154578208923,0.04634782671928406,0.14453350007534027,31.212705076197274,0.08883646187322876,0.5631448095527787,0.3457126511364691,False,25,51,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41.73544941999717
F05_far_vertical,3.0,-0.6,3.0,0.6,2.446581912751487,-0.09026126670481117,2.789011155867573,-0.04271308510360366,0.14006249606609344,0.21438147127628326,0.05527275800704956,0.144530788064003,31.212022812697402,0.08885324656592301,0.5631654709584656,0.34571464550209174,False,18,44,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.05952577199787
F06_diagonal,1.2,-0.8,2.8,0.8,1.1735498730923282,-0.1089543627393686,2.965758201239989,-0.13455131129601022,0.09379489719867706,0.23333817720413208,0.0348333902657032,0.15978020429611206,23.990248716805315,0.1160052198939714,0.6425253765187228,1.792391111129835,False,17,39,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.411340571998153
F07_antidiagonal,1.2,0.8,2.8,-0.8,1.1734828830180701,-0.10897044498519823,2.965743948030983,-0.13455996488994934,0.10936354845762253,0.23333829641342163,0.044608891010284424,0.15977708995342255,23.98624603901439,0.11603243950297157,0.6426786665446055,1.7924437365480055,False,20,53,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42.919800941017456
F08_near_far_asym,1.1,0.2,2.6,-0.7,1.1433086213780865,0.3079837046368567,2.697814740052111,-0.3020801278092823,0.16961216926574707,0.2097361832857132,0.08443345129489899,0.13340242207050323,19.458477523144623,0.14163973303455019,0.7563959692963451,1.6699302837705083,False,12,23,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.86734357799287
F09_far_close,2.6,0.15,3.0,-0.25,2.4465651849690295,-0.09023505001448935,2.78900084103734,-0.04270069390708453,0.2002502679824829,0.21438148617744446,0.11669621616601944,0.14452998340129852,31.21191265345675,0.08885863619772463,0.5631614086943638,0.3457190963158959,False,14,59,False,ABNORMAL: ,47.789820207020966
F10_centre_offaxis,1.5,0.0,2.2,0.85,1.3609228688062116,-0.17652808241288448,2.4691211067325036,-0.1273968186891954,0.11683520674705505,0.2043156623840332,0.041620057076215744,0.12507270276546478,15.876719155139597,0.17460633386506938,0.8149836760695081,1.1092868049418172,False,18,46,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.23227940997458
