initial_angle_deg,recovered_angle_deg,signed_error_deg,absolute_error_deg,basin,iterations,final_objective,converged,wall_time_min
35.0,26.93650342946548,-36.063496570534525,36.063496570534525,low_basin_27,6,7.621682668123716,True,9.981569166366535
40.0,42.13890743482638,-20.86109256517362,20.86109256517362,mid_basin_42,5,17.08377572246675,False,14.8524260967999
45.0,63.00003369806902,3.369806901787342e-05,3.369806901787342e-05,true_basin,7,7.65284779991049e-11,True,11.429593931716711
50.0,63.00038808664328,0.00038808664327660836,0.00038808664327660836,true_basin,4,1.0116513682323358e-08,True,6.844999120799669
55.0,63.000249443310466,0.00024944331046583557,0.00024944331046583557,true_basin,4,4.177643814218257e-09,True,6.830214908066652
60.0,63.00038808664328,0.00038808664327660836,0.00038808664327660836,true_basin,3,1.0116513682323358e-08,True,5.313350412083188
65.0,63.0001496608976,0.00014966089759838042,0.00014966089759838042,true_basin,5,1.5045224510679134e-09,True,8.476211432249693
70.0,63.00021184755368,0.00021184755367897878,0.00021184755367897878,true_basin,6,3.015566935049563e-09,True,9.921744988883438
75.0,63.00027155542637,0.0002715554263730269,0.0002715554263730269,true_basin,9,4.954772758747339e-09,True,14.28177510513342
80.0,83.24242670710265,20.242426707102652,20.242426707102652,high_basin_83,9,1.2896029075211635,True,14.547267356549856
