iteration,evaluation,x1,y1,x2,y2,D_tau,hard_min_distance,N_eff,separation,objective
0,0,1.5,0.0,2.2,0.85,0.20539678633213043,0.054066479206085205,14.690119066897514,1.101135777277262,-0.20539678633213043
0,1,1.3959774636871316,-0.04366639645684245,2.1882627458733284,0.7610426237493811,0.22262580692768097,0.09829162806272507,19.31672101427984,1.1292796711046036,-0.22262580692768097
1,2,1.3053393264124487,-0.12159908224435172,2.213416069258683,0.5162363340580353,0.23899966478347778,0.10475447028875351,13.251379339734502,1.109701486521427,-0.23899966478347778
2,3,1.1404587644551876,-0.06915874249864903,2.3679689192234648,0.10956734809452368,0.2701377868652344,0.1236758828163147,10.768608428679366,1.2404532218177189,-0.2701377868652344
3,4,1.0,0.28900198400560523,3.0,-1.0,0.2138867974281311,0.086919866502285,14.798134136617465,2.3793961659989256,-0.2138867974281311
3,5,1.11444003959232,-0.0028126840255797148,2.4850470016008166,-0.0959700397564397,0.2754072844982147,0.12979407608509064,11.357103471142132,1.373769171743538,-0.2754072844982147
4,6,1.29867242059137,0.08586163038423104,2.4963385824587316,0.08685842784421768,0.28174179792404175,0.16290690004825592,16.260757087224835,1.197666576676194,-0.28174179792404175
4,7,1.1752273819950325,0.026445342620576153,2.4887726506325225,-0.03564591757586772,0.278952419757843,0.13915841281414032,12.913320935638522,1.3150119761252055,-0.278952419757843
4,8,1.2601571910205633,0.06732356689068399,2.4939779885902618,0.04863669742129925,0.28319284319877625,0.15953899919986725,16.02809267226465,1.2339623007232,-0.28319284319877625
5,9,1.2789318357523578,0.08210226012245367,2.516129967177764,0.0189539678980264,0.28375932574272156,0.16529254615306854,16.459215621818014,1.238808670946962,-0.28375932574272156
6,10,1.274629916478601,0.07474836831614479,2.5118499418762137,0.0095967915687665,0.28374144434928894,0.16339758038520813,16.35333692130324,1.238934267504753,-0.28374144434928894
6,11,1.2774423170052047,0.07955601064333051,2.514648029112622,0.01571409083945972,0.2837664783000946,0.16465263068675995,16.427015337535686,1.2388517929096543,-0.2837664783000946
7,12,1.2941064750393365,0.07218574598781816,2.4983489900936595,0.004601788345809273,0.28386080265045166,0.16286934912204742,16.312161543899364,1.206137482377079,-0.28386080265045166
8,13,1.3099450797542536,0.052215754758751204,2.4737502529816813,-0.005147777827210131,0.2839467227458954,0.16166910529136658,15.858147335076904,1.1652180294269667,-0.2839467227458954
9,14,1.3183225962620848,0.017851492838724076,2.4445426156258847,-0.011175059272173755,0.28411179780960083,0.15933053195476532,15.24065048024658,1.126594014160933,-0.28411179780960083
10,15,1.306437569709208,-0.01719073715734097,2.433295158632261,-0.002425227730998696,0.2844351828098297,0.15565858781337738,15.292345064482078,1.1269543229350936,-0.2844351828098297
11,16,1.28615135349678,-0.00042199543580019247,2.4735162454155533,0.01755756434285699,0.28456008434295654,0.16026119887828827,16.353516545654806,1.1875010110021442,-0.28456008434295654
12,17,1.300488894957802,-0.01472959757360103,2.4679721488758277,0.007538055162498305,0.28484129905700684,0.1608840972185135,16.320929901739127,1.1676955924115655,-0.28484129905700684
13,18,1.3091560213400875,-0.016481782471507393,2.464751227733481,0.005660984987475289,0.28486454486846924,0.1614861786365509,16.196314044043724,1.1558073296142972,-0.28486454486846924
14,19,1.3073132896007928,-0.015294749132554724,2.467098947632137,0.0074952078760350885,0.28486940264701843,0.1616947501897812,16.27749241998153,1.1600095494070952,-0.28486940264701843
15,20,1.307611674360096,-0.015145261860973152,2.467531635495735,0.0077926467575717565,0.28486940264701843,0.16181378066539764,16.287511142383842,1.1601467423962775,-0.28486940264701843
15,21,1.307410098261368,-0.015246249126828499,2.4672393299111106,0.007591709653779146,0.28486931324005127,0.16173326969146729,16.28072764233218,1.1600540586328283,-0.28486931324005127
