iteration,evaluation,x1,y1,x2,y2,D_tau,hard_min_distance,N_eff,separation,objective
0,0,1.0,-0.9,1.0,0.9,0.07270670682191849,0.008581477217376232,122.29308088192136,1.8,-0.07270670682191849
0,1,1.0182184110744856,-0.8036156695219688,1.017940035351785,0.8160655302985106,0.09049029648303986,0.013345591723918915,89.84508835148529,1.6196812237427929,-0.09049029648303986
1,2,1.0516580753101152,-0.6873371662280988,1.039901274474687,0.7300790432840586,0.1180746853351593,0.026417851448059082,64.18962009760742,1.4174649672403534,-0.1180746853351593
1,3,1.1854167322526337,-0.22222315305261875,1.1277462309662951,0.3861330952262506,0.2512701451778412,0.11033834517002106,8.612507705041137,0.6110836371058866,-0.2512701451778412
2,4,1.0,0.829605903232623,1.7582514608757378,-0.5523294862627852,0.15052105486392975,0.041467007249593735,37.57251683272285,1.5762901695627034,-0.15052105486392975
2,5,1.1445217150746496,0.009765442596233215,1.2668087734601599,0.17914830520957603,0.2651364207267761,0.12204133719205856,6.911916103670589,0.20891308909609219,-0.2651364207267761
3,6,1.1503250219707115,-0.038104442367587706,1.4510370660226237,0.18175197774823215,0.2743385136127472,0.12409236282110214,8.341924377485581,0.3725111795691816,-0.2743385136127472
4,7,1.1367310649151259,-0.023947722529832603,1.4105945900909966,0.13901855821658302,0.2766191363334656,0.12635813653469086,7.8049796658095785,0.31868360340951707,-0.2766191363334656
5,8,1.1214484918751728,-0.02805607601081867,1.4376479017817316,0.09445588930445645,0.2773614227771759,0.12449884414672852,7.32397635456018,0.3391035954847238,-0.2773614227771759
6,9,1.1420946167816473,-0.05290039444643586,1.4519163392383687,0.06928434028272985,0.27769988775253296,0.12658224999904633,7.839226281963577,0.33304445515108994,-0.27769988775253296
7,10,1.1400378425493949,-0.04337948676944115,1.4573003617746838,0.06195050783700851,0.2777894139289856,0.12662430107593536,7.746778336431585,0.3342901641822139,-0.2777894139289856
8,11,1.141940192218008,-0.012160066860074568,1.4941829816546661,0.008942754530686985,0.2782595157623291,0.13125282526016235,7.809616069656331,0.3528743569328442,-0.2782595157623291
8,12,1.14954959089246,0.11271761277739178,1.6417134611745954,-0.20308825869459912,0.2777951657772064,0.14116577804088593,9.57996830931775,0.5847722836004406,-0.2777951657772064
8,13,1.1458118757233928,0.05137804871617823,1.5692469056959397,-0.09893922296256133,0.279389351606369,0.14386631548404694,8.266897858041768,0.44932450052583567,-0.279389351606369
8,14,1.1470466910967432,0.07164257751822267,1.5931874182045822,-0.1333465613028019,0.2797991931438446,0.1442437469959259,8.628173934854983,0.4909807485216672,-0.2797991931438446
9,15,1.1964665704640998,0.542291726189672,2.1382935396441543,-1.0,0.1460319310426712,0.04599783942103386,48.98932633169914,1.8071252885586007,-0.1460319310426712
9,16,1.1475990822934652,0.07690326309250871,1.5992803473379014,-0.14303358879606187,0.27982446551322937,0.14427684247493744,8.748530365248593,0.5023825076680091,-0.27982446551322937
10,17,1.1515415804114104,0.0720116768853516,1.5890422455956075,-0.1470100618992363,0.28031641244888306,0.14493213593959808,8.778081422632683,0.4892620505381949,-0.28031641244888306
11,18,1.1690629591747732,0.05568274002590412,1.563653507073165,-0.16210872671319593,0.28106510639190674,0.14659568667411804,8.96613665114456,0.45070480746839336,-0.28106510639190674
12,19,1.175399259082534,0.04731219471499194,1.5586434322391427,-0.16327674013079563,0.28112953901290894,0.14738647639751434,9.016916525724225,0.43729143112800195,-0.28112953901290894
13,20,1.1789820430477438,0.03563730155834813,1.5559579121673417,-0.16433449761645008,0.2811722755432129,0.147974893450737,9.058241248062261,0.4267312109087898,-0.2811722755432129
14,21,1.180912317501862,0.00999560913765063,1.553354663239232,-0.16592379048968497,0.2812254726886749,0.14676892757415771,9.118976404464108,0.4118991819166395,-0.2812254726886749
15,22,1.177539256528265,0.006345770426278771,1.5558495662537923,-0.16663016308453457,0.28125181794166565,0.1466902792453766,9.104250514098261,0.415980004349442,-0.28125181794166565
16,23,1.1661324252785423,0.005370767241542132,1.56101979814483,-0.16703540610764314,0.2812815010547638,0.14710763096809387,9.029673524493615,0.43088272866076655,-0.2812815010547638
17,24,1.1645365110265764,-0.0024228489776390288,1.5590516938839731,-0.16677950385040646,0.28128182888031006,0.14654338359832764,9.027646510563848,0.4273819597338792,-0.28128182888031006
17,25,1.1653112851633876,0.0013607454550913925,1.560007156420874,-0.16690373762437918,0.2812836766242981,0.14680702984333038,9.028392220467241,0.42906615696615796,-0.2812836766242981
18,26,1.1650805314021233,0.0012976571984991692,1.55922716435265,-0.16684263435909072,0.2812836766242981,0.14674794673919678,9.024425978933143,0.42851222375949627,-0.2812836766242981
18,27,1.165200060855196,0.001330336643308497,1.5596311968798127,-0.16687428558696615,0.2812838554382324,0.14677901566028595,9.026486746393232,0.42879915578893,-0.2812838554382324
19,28,1.1652471135500717,0.0012305538433513908,1.559501779194498,-0.16670384301755345,0.28128376603126526,0.14676682651042938,9.025450058272451,0.42853086590283584,-0.28128376603126526
19,29,1.165202248860212,0.0013256966271010563,1.559625178806982,-0.1668663598093286,0.28128373622894287,0.1467781960964203,9.026436267402149,0.4287866783333056,-0.28128373622894287
19,30,1.1652000649623107,0.0013303279335118293,1.5596311855832592,-0.16687427070945096,0.2812838852405548,0.1467791497707367,9.026493169394648,0.42879913236728623,-0.2812838852405548
19,31,1.165200064962369,0.0013303279333880189,1.5596311855830987,-0.16687427070923946,0.2812838852405548,0.1467791497707367,9.026493169394648,0.42879913236695333,-0.2812838852405548
19,32,1.1652011569112906,0.0013280122802445376,1.5596281821950404,-0.16687031525928403,0.28128373622894287,0.14677810668945312,9.026442201405127,0.4287929053299301,-0.28128373622894287
19,33,1.1652000657845984,0.0013303261897187,1.5596311833215701,-0.16687426773081554,0.2812838554382324,0.14677898585796356,9.02648945965818,0.4287991276780262,-0.2812838554382324
19,34,1.1652000649623715,0.0013303279333830571,1.5596311855830922,-0.166874270709231,0.2812838852405548,0.1467791497707367,9.026493169394648,0.4287991323669399,-0.2812838852405548
19,35,1.1652000649623737,0.0013303279333780954,1.5596311855830858,-0.1668742707092225,0.2812838852405548,0.1467791497707367,9.026493169394648,0.4287991323669266,-0.2812838852405548
19,36,1.165200065373486,0.0013303270615483977,1.559631184452328,-0.16687426922001902,0.2812838554382324,0.14677904546260834,9.0264907797937,0.4287991300224766,-0.2812838554382324
19,37,1.1652000649623737,0.0013303279333780954,1.5596311855830858,-0.1668742707092225,0.2812838852405548,0.1467791497707367,9.026493169394648,0.4287991323669266,-0.2812838852405548
20,38,1.1658810407347087,0.0005950607704537422,1.5590331862537326,-0.16587542533453767,0.281283438205719,0.14670468866825104,9.024224494292085,0.42694382800345515,-0.281283438205719
20,39,1.165301891866214,0.0012203827903383426,1.5595417662194604,-0.1667249124852573,0.281283974647522,0.14676812291145325,9.026152673881368,0.4285215289052238,-0.281283974647522
21,40,1.1653100409982333,0.0012372180355949248,1.5595397964307611,-0.16673249255854575,0.281283974647522,0.14676867425441742,9.02625076562571,0.4285217891140077,-0.281283974647522
21,41,1.165304248966332,0.001225252309998445,1.559541196466858,-0.16672710498767354,0.281283974647522,0.1467680186033249,9.0261801647995,0.4285216040019189,-0.281283974647522
21,42,1.1653024208845768,0.0012214756863504162,1.5595416383464071,-0.16672540456195367,0.2812838554382324,0.14676812291145325,9.026147853905165,0.4285215457477658,-0.2812838554382324
21,43,1.16530189187599,0.0012203828105347857,1.5595417662170974,-0.16672491249435076,0.281283974647522,0.14676809310913086,9.026151531831141,0.428521528905535,-0.281283974647522
21,44,1.1653018918858111,0.00122038283082428,1.5595417662147233,-0.16672491250348612,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289058476,-0.281283974647522
21,45,1.165302156385194,0.001220929258587348,1.5595417022805653,-0.16672515853271988,0.2812839150428772,0.14676804840564728,9.02616398475845,0.4285215373259483,-0.2812839150428772
21,46,1.1653018918907216,0.0012203828409686403,1.5595417662135365,-0.1667249125080536,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289060039,-0.281283974647522
21,47,1.1653018918956317,0.0012203828511126243,1.5595417662123496,-0.16672491251262095,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289061604,-0.281283974647522
21,48,1.1653020241404128,0.0012206560548499862,1.5595417342464575,-0.16672503552267043,0.2812839150428772,0.14676795899868011,9.026153309475646,0.42852153311583974,-0.2812839150428772
21,49,1.1653018918968594,0.0012203828536486447,1.5595417662120528,-0.16672491251376279,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289061992,-0.281283974647522
21,50,1.1653018918980869,0.0012203828561846183,1.559541766211756,-0.16672491251490462,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289062384,-0.281283974647522
21,51,1.1653019580192499,0.0012205194555173023,1.5595417502291067,-0.16672497401878753,0.2812839150428772,0.14676792919635773,9.026148758931079,0.42852153101098533,-0.2812839150428772
21,52,1.1653018918983937,0.0012203828568186142,1.559541766211682,-0.16672491251519006,0.281283974647522,0.14676809310913086,9.026151531831141,0.42852152890624823,-0.281283974647522
21,53,1.1653018918987006,0.0012203828574526045,1.5595417662116078,-0.16672491251547553,0.281283974647522,0.14676809310913086,9.026151531831141,0.428521528906258,-0.281283974647522
21,54,1.1653019249589753,0.0012204511564849533,1.5595417582203572,-0.16672494326713153,0.2812839150428772,0.14676803350448608,9.026152555366131,0.42852152995860815,-0.2812839150428772
21,55,1.1653018918987774,0.0012203828576111025,1.5595417662115891,-0.16672491251554689,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289062603,-0.281283974647522
21,56,1.1653018918988542,0.0012203828577695996,1.5595417662115707,-0.16672491251561825,0.281283974647522,0.14676809310913086,9.026151531831141,0.4285215289062627,-0.281283974647522
21,57,1.1653019084289147,0.0012204170071272765,1.559541762215964,-0.16672492789137489,0.28128406405448914,0.14676827192306519,9.02616188883063,0.4285215294324322,-0.28128406405448914
21,58,1.1653019084289273,0.0012204170071535357,1.5595417622159609,-0.1667249278913867,0.28128406405448914,0.14676827192306519,9.02616188883063,0.4285215294324326,-0.28128406405448914
21,59,1.165301908428935,0.0012204170071692913,1.559541762215959,-0.1667249278913938,0.28128406405448914,0.14676827192306519,9.02616188883063,0.42852152943243277,-0.28128406405448914
21,60,1.1652706820998657,0.0012432989059070478,1.5594950281948667,-0.16672228694142874,0.2812838554382324,0.14676600694656372,9.025732373874211,0.42851519586015835,-0.2812838554382324
21,61,1.165301733106479,0.0012204993614267651,1.5595415284696383,-0.16672489912948152,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966862873,-0.28128403425216675
21,62,1.1653017330982067,0.0012204993675007207,1.5595415284572505,-0.1667248991287856,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966846087,-0.28128403425216675
21,63,1.1652862075990362,0.0012318991367038842,1.5595182783260586,-0.16672359303510717,0.28128376603126526,0.1467670500278473,9.025912233005004,0.4285183460954633,-0.28128376603126526
21,64,1.1653017156002035,0.0012205122156029203,1.5595415022532058,-0.1667248976567536,0.2812838554382324,0.14676780998706818,9.026152059930956,0.42852149313354004,-0.2812838554382324
21,65,1.1653017330982067,0.0012204993675007207,1.5595415284572505,-0.1667248991287856,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966846087,-0.28128403425216675
22,66,1.1652890044844018,0.001241585690155504,1.5595019693843062,-0.1667275418675207,0.2812839150428772,0.1467662900686264,9.025924567255982,0.4285061137342852,-0.2812839150428772
22,67,1.1653016855450389,0.0012205781444561618,1.5595413806674543,-0.16672490900186376,0.2812838554382324,0.14676792919635773,9.026147173560835,0.42852143921049013,-0.2812838554382324
22,68,1.165301733097759,0.0012204993682423755,1.5595415284558591,-0.16672489912887856,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966840676,-0.28128403425216675
22,69,1.1653017330973114,0.0012204993689840164,1.5595415284544678,-0.1667248991289715,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966835265,-0.28128403425216675
22,70,1.165301709321175,0.0012205387567200891,1.559541454560961,-0.16672490406541762,0.281283974647522,0.14676812291145325,9.026167039467815,0.428521467947004,-0.281283974647522
22,71,1.1653017330969755,0.0012204993695402236,1.5595415284534242,-0.1667248991290412,0.28128403425216675,0.14676810801029205,9.026169483472222,0.42852149668312073,-0.28128403425216675
22,72,1.1653017330966398,0.001220499370096415,1.5595415284523808,-0.16672489912911093,0.28128403425216675,0.14676810801029205,9.026169483472222,0.428521496682715,-0.28128403425216675
22,73,1.1653017212089074,0.0012205190634082522,1.559541491506671,-0.16672490159726427,0.2812839448451996,0.14676803350448608,9.026156550348936,0.4285214823148586,-0.2812839448451996
22,74,1.1653017330965838,0.0012204993701891154,1.559541528452207,-0.16672489912912253,0.28128403425216675,0.14676810801029205,9.026169483472222,0.42852149668264744,-0.28128403425216675
22,75,1.1653017330965278,0.0012204993702818149,1.559541528452033,-0.16672489912913416,0.28128403425216675,0.14676810801029205,9.026169483472222,0.4285214966825798,-0.28128403425216675
22,76,1.1653017271527177,0.0012205092168450335,1.559541509979352,-0.1667249003631992,0.2812839150428772,0.14676812291145325,9.026162329862249,0.4285214894987187,-0.2812839150428772
22,77,1.1653017330965174,0.0012204993702991961,1.5595415284520004,-0.16672489912913632,0.28128403425216675,0.14676810801029205,9.026169483472222,0.42852149668256706,-0.28128403425216675
