iteration,evaluation,x1,y1,x2,y2,D_tau,hard_min_distance,N_eff,separation,objective
0,0,1.2,0.8,2.8,-0.8,0.13631604611873627,0.04487793520092964,54.84670890993067,2.262741699796952,-0.13631604611873627
0,1,1.2228768922534072,0.7042225946323015,2.8285310860199386,-0.6810332211724017,0.16210515797138214,0.05399606376886368,40.62387740109556,2.120627045281844,-0.16210515797138214
1,2,1.2592005975740903,0.568143310022424,2.8529885931900933,-0.5803966934170603,0.19491639733314514,0.07094170898199081,29.01893790292351,1.9645112151551711,-0.19491639733314514
1,3,1.4044954188568226,0.023826171582914002,2.950818621870712,-0.17785058239569485,0.24602237343788147,0.10250256210565567,11.756120052031976,1.5594194308377984,-0.24602237343788147
2,4,1.2669346321278216,-0.6390365127081981,2.722171845663775,0.1784086465484271,0.1945132464170456,0.06914889067411423,23.91814242570383,1.669111121541036,-0.1945132464170456
2,5,1.3714825141988465,-0.13525275721779764,2.895946194903981,-0.09235272913155039,0.259077787399292,0.12632937729358673,16.28745893782096,1.525067187437605,-0.259077787399292
3,6,1.2874411683928648,-0.00013291741730640794,2.8489496197933377,-0.1772892268684208,0.26906201243400574,0.13906803727149963,15.713130674477432,1.5715256923682293,-0.26906201243400574
4,7,1.0,1.0,2.3345582045577284,-0.9850140756621512,0.08629215508699417,0.01802007295191288,113.09213657553758,2.3919294475233195,-0.08629215508699417
4,8,1.278103025041089,0.03235854720444827,2.8322385105209604,-0.20352990237429783,0.2702127695083618,0.14247170090675354,16.02436704867046,1.5719352619851812,-0.2702127695083618
4,9,1.1390515125205445,0.5161792736022242,2.5833983575393447,-0.5942719890182244,0.19331775605678558,0.07250325381755829,23.218443693482268,1.8218781011283687,-0.19331775605678558
4,10,1.2666043813197636,0.07236733284796262,2.811661069752217,-0.23584169790821533,0.2718087136745453,0.14801083505153656,16.540339494833916,1.5754976918769261,-0.2718087136745453
4,11,1.2531828128660834,0.11906681048002041,2.787642451854957,-0.273557013394988,0.27277475595474243,0.14980481564998627,17.030465797760563,1.5838938887312173,-0.27277475595474243
5,12,1.2034561710795104,-0.4945770992194328,3.0,0.2858927171701971,0.21152172982692719,0.08004166930913925,18.23580183870493,1.9587503321065591,-0.21152172982692719
5,13,1.2493425816619252,0.07167703297637126,2.804042153373616,-0.23035248086903892,0.27328822016716003,0.1495770364999771,16.193927746013834,1.5837653189517094,-0.27328822016716003
6,14,1.1587790444366044,-0.28775156807034497,2.9553551767661563,0.11539534688281011,0.25455406308174133,0.11421387642621994,11.550777502866753,1.8412531695267922,-0.25455406308174133
6,15,1.2281985885426427,-0.012239254971801394,2.8393694122626956,-0.1496302618063764,0.2769567370414734,0.14168767631053925,14.826843946284995,1.6170181544948008,-0.2769567370414734
6,16,1.2152668645448153,-0.06356268610167429,2.8609756603813046,-0.10026033193922373,0.27965229749679565,0.14147137105464935,14.301891846104283,1.6461179052253838,-0.27965229749679565
6,17,1.2085438181918775,-0.0902451150288543,2.8722084865411333,-0.07459350460870606,0.2801588773727417,0.142157644033432,14.128959781995801,1.6637382912051952,-0.2801588773727417
7,18,1.152103736691336,-0.31267898583236875,3.0,0.13509172426554675,0.24819964170455933,0.10261211544275284,10.711648054695935,1.9013729799204875,-0.24819964170455933
7,19,1.2074404350295154,-0.09459361668332644,2.8747067643694875,-0.07049423428901852,0.28018563985824585,0.1423482745885849,14.110823435022676,1.6674404916465748,-0.28018563985824585
8,20,1.2073516227795071,-0.0911643812179689,2.963156492008973,-0.0839280117044427,0.28357240557670593,0.15930502116680145,15.225009376342513,1.7558197811431666,-0.28357240557670593
9,21,1.166731292033479,-0.0695546933140139,2.9429820045170754,-0.09796527481663037,0.2870815694332123,0.15801185369491577,15.070331420706223,1.776477907191587,-0.2870815694332123
10,22,1.1368537461970782,-0.07238052317664966,2.9420930672434786,-0.10333584493629291,0.2876644432544708,0.16010616719722748,14.988865938480032,1.8055047045624977,-0.2876644432544708
11,23,1.1320012541667297,-0.08331332088300297,2.936669368970669,-0.10047322244646241,0.2877952456474304,0.1596391350030899,14.732501638176451,1.8047496964431582,-0.2877952456474304
12,24,1.1203369367347396,-0.09847895282341164,2.92329701912652,-0.10301444216291464,0.2879195809364319,0.15832264721393585,14.320241568114575,1.8029657870746536,-0.2879195809364319
13,25,1.1076370819705597,-0.11185720234785324,2.9146358989822607,-0.11162883813110358,0.28798922896385193,0.15802712738513947,14.069633173969672,1.8069988314417647,-0.28798922896385193
