iteration,evaluation,x1,y1,x2,y2,D_tau,hard_min_distance,N_eff,separation,objective
0,0,2.3710839689613894,0.37689346114188016,2.3009185525356326,-0.22215715204179243,0.21050314605236053,0.09923873096704483,17.905037299645148,0.6031457724447167,-0.21050314605236053
0,1,2.4995639519759183,0.34456973500720256,2.312585759481264,-0.22677175113554848,0.22315162420272827,0.09438463300466537,15.654201124337735,0.6011588294755184,-0.22315162420272827
1,2,2.594058835042395,0.2576205767891382,2.301403717895901,-0.17951116179795654,0.23101498186588287,0.10469110310077667,14.925917429861425,0.5260524446024412,-0.23101498186588287
2,3,3.0,-0.5420326322695748,2.3075932403474395,0.22544903542378672,0.20583964884281158,0.07011323422193527,14.195393241421067,1.0336610813307918,-0.20583964884281158
2,4,2.7035252701507075,0.041985421562342834,2.3030727897129055,-0.07030925527228322,0.24223925173282623,0.1269954890012741,15.600728723793571,0.4158993670759566,-0.24223925173282623
3,5,2.7308060721290763,-0.06805305733195113,2.3895854140426644,0.017272081402805103,0.24791467189788818,0.12303556501865387,17.173392575874406,0.35172704872532823,-0.24791467189788818
4,6,2.750802852003987,-0.029966199680806705,2.4230355385137194,-0.006338449849294752,0.24939008057117462,0.11927451193332672,16.69263263760505,0.328617836330787,-0.24939008057117462
5,7,2.829484670819124,-0.03419141535206435,2.4704150176947377,-0.027799849136980886,0.24994303286075592,0.1147773489356041,14.972472622416428,0.35912653468317957,-0.24994303286075592
6,8,2.8063701580216196,-0.04260816024234636,2.454988872335727,-0.04158926287434374,0.2502489387989044,0.11787288635969162,15.616002582228306,0.35138276292686504,-0.2502489387989044
7,9,2.779071853061585,-0.04440521751654429,2.4294978031800323,-0.07465393399083722,0.25028789043426514,0.12277045100927353,16.628502972110052,0.3508803231857444,-0.25028789043426514
7,10,2.792996966255311,-0.04348852228599972,2.4425010289825804,-0.05778734506948939,0.25035208463668823,0.12023027241230011,16.112808629546578,0.3507874832112507,-0.25035208463668823
8,11,2.794549912106821,-0.04830935490926096,2.4423882843940974,-0.07195541147581908,0.25037068128585815,0.12089204788208008,16.16276402351309,0.3529545976813787,-0.25037068128585815
9,12,2.795518290168055,-0.04761086449958758,2.4425860305004075,-0.06802630597420532,0.25037288665771484,0.12064023315906525,16.11218215288314,0.35352223432864194,-0.25037288665771484
