layout,initial_angle_deg,recovered_angle_deg,signed_error_deg,absolute_error_deg,basin,success,iterations,forward_evaluations,t1_cfd_solves,cache_hits,final_objective,converged,termination_reason,wall_time_min
conventional,35.0,26.987238926271672,-36.01276107372833,36.01276107372833,low_basin_27,False,6,18,18,0,11.926243330570218,True,Converged: proposed Gauss-Newton step is below the step tolerance,9.998738694133499
conventional,40.0,50.70728434310509,-12.292715656894913,12.292715656894913,mid_basin_51,False,6,29,29,0,16.124171998503115,False,Stopping: backtracking could not find an objective-decreasing step,15.708089859066725
conventional,45.0,63.00034497309688,0.0003449730968796416,0.0003449730968796416,true_basin,True,6,18,18,0,1.1627766787619676e-08,True,Converged: proposed Gauss-Newton step is below the step tolerance,9.927850492083477
conventional,50.0,63.00018939240152,0.00018939240152349157,0.00018939240152349157,true_basin,True,4,12,12,0,3.5064278772201085e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,6.820899444299964
conventional,55.0,62.99953800698088,-0.00046199301912253077,0.00046199301912253077,true_basin,True,4,12,12,0,2.0826679124775344e-08,True,Converged: proposed Gauss-Newton step is below the step tolerance,6.803301952850112
conventional,60.0,63.00018939240152,0.00018939240152349157,0.00018939240152349157,true_basin,True,3,9,9,0,3.5064278772201085e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,5.253405685049802
conventional,65.0,63.00016445638677,0.00016445638676998442,0.00016445638676998442,true_basin,True,5,15,15,0,2.6432520083309596e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,8.38291725575012
conventional,70.0,63.000076181242235,7.61812422354069e-05,7.61812422354069e-05,true_basin,True,6,18,18,0,5.68650831284101e-10,True,Converged: proposed Gauss-Newton step is below the step tolerance,10.132689715000016
conventional,75.0,63.00027831163328,0.0002783116332807367,0.0002783116332807367,true_basin,True,9,27,27,0,7.566443000362605e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,14.799970126099895
conventional,80.0,83.25083694258193,20.250836942581927,20.250836942581927,high_basin_83,False,9,27,27,0,2.0243983633815685,True,Converged: proposed Gauss-Newton step is below the step tolerance,14.858718418900146
optimized,35.0,26.580590985392984,-36.41940901460701,36.41940901460701,low_basin_27,False,10,30,30,0,20.06294874589678,True,Converged: proposed Gauss-Newton step is below the step tolerance,16.174003174733176
optimized,40.0,63.000107510720206,0.0001075107202055392,0.0001075107202055392,true_basin,True,10,37,37,0,1.1552480617363792e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,19.688107676850148
optimized,45.0,63.00016916269626,0.00016916269625966152,0.00016916269625966152,true_basin,True,6,18,18,0,2.858209165114596e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,9.989647810250123
optimized,50.0,63.00022857823074,0.0002285782307396289,0.0002285782307396289,true_basin,True,5,15,15,0,5.214260086883584e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,8.543780319749931
optimized,55.0,63.00021412023065,0.0002141202306518153,0.0002141202306518153,true_basin,True,5,15,15,0,4.5785197048877225e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,8.352204478599985
optimized,60.0,63.00022857823074,0.0002285782307396289,0.0002285782307396289,true_basin,True,4,12,12,0,5.214260086883584e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,6.846999332500127
optimized,65.0,63.0003088495267,0.00030884952669651966,0.00030884952669651966,true_basin,True,4,12,12,0,9.521304671880788e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,6.826040121516659
optimized,70.0,63.00009639341435,9.639341435274673e-05,9.639341435274673e-05,true_basin,True,7,21,21,0,9.278358797687892e-10,True,Converged: proposed Gauss-Newton step is below the step tolerance,11.1192713496998
optimized,75.0,63.00020005386133,0.00020005386132737613,0.00020005386132737613,true_basin,True,9,27,27,0,3.996279070709501e-09,True,Converged: proposed Gauss-Newton step is below the step tolerance,13.909759543866675
optimized,80.0,83.22072585162783,20.220725851627833,20.220725851627833,high_basin_83,False,10,30,30,0,6.620703023734094,True,Converged: proposed Gauss-Newton step is below the step tolerance,15.39065820408335
