n_sensors,design_dimension,reverse_mode_seconds,central_difference_seconds,central_difference_objective_evaluations,speedup
1,2,0.7893452380012604,0.6825195549972705,4,0.8646654494622803
2,4,0.7746386590006296,1.3623821700020926,8,1.7587324801988553
3,6,0.7888975469977595,2.1127399260003585,12,2.678091640721452
5,10,0.7790636199933942,3.445635725001921,20,4.422791202894492
8,16,0.7903799699997762,5.584513521003828,32,7.065606079320822
