alpha_deg,J_per_scalar_conventional,J_per_scalar_optimized
20.0,0.1682501621263571,0.21995121379362828
21.0,0.17303797718541195,0.23715796036306128
22.0,0.1769217217472316,0.25057744701897083
23.0,0.17673875140449447,0.2576608346606939
24.0,0.17144735758826907,0.2624994696337962
25.0,0.16260703505659876,0.26193022480538913
26.0,0.15334809289452606,0.2541493507466356
27.0,0.1490790516922648,0.25289674926996447
28.0,0.154556735576818,0.28153092472380215
29.0,0.17146619857114498,0.33563864764698925
30.0,0.19938648642666004,0.39322341069656586
31.0,0.2304136502961434,0.43539092765049253
32.0,0.2554810247070683,0.4617467486182849
33.0,0.2747185429486483,0.47968790077523166
34.0,0.29149237261458544,0.4937246314191941
35.0,0.30860548820704736,0.5060597559732679
36.0,0.328595777475862,0.5159313888511375
37.0,0.34738781882402553,0.5165368554380461
38.0,0.35593161693979136,0.5036199810571407
39.0,0.35461088360206605,0.4858391569500924
40.0,0.3487838658213496,0.4683111354802918
41.0,0.34315226015266437,0.45486716144657163
42.0,0.3406337391028621,0.45010970435388753
43.0,0.34060726448870443,0.4517843848971189
44.0,0.33837115601777434,0.4496497273033208
45.0,0.32768471104287844,0.43124705446644923
46.0,0.306335902934505,0.3943918197666226
47.0,0.27898974002367033,0.3512858823049273
48.0,0.24885326108722367,0.3077006274149059
49.0,0.22086548658835162,0.26677256766278024
50.0,0.20444833822228886,0.241831545332467
51.0,0.20204818599312668,0.2371045565478555
52.0,0.20667633824221623,0.2427763155315783
53.0,0.20499058191867725,0.23960215136754898
54.0,0.18471004669183672,0.21092675582247528
55.0,0.1439045972084432,0.1610489788251202
56.0,0.09615481419884613,0.11099954987818368
57.0,0.060161923533309444,0.07388060122010544
58.0,0.03891664740892019,0.04914704594260959
59.0,0.025618985089369696,0.03132801373654219
60.0,0.014981180380477794,0.017023623787736385
61.0,0.006731849429093419,0.007097568357101319
62.0,0.0016015060399256168,0.001623487367196276
63.0,0.0,0.0
64.0,0.0006561921541318315,0.0007229872548058753
65.0,0.0011327821735288633,0.0015268732120939502
66.0,0.001711416917512231,0.0028219288396814203
67.0,0.004717299000030521,0.007698492390098238
68.0,0.018479093422299316,0.02582678809568833
69.0,0.05626830147447759,0.06563481884621006
70.0,0.11712466257987426,0.11840211219125767
71.0,0.17817304667611447,0.17057751216012657
72.0,0.22973505817015027,0.21727579131367633
73.0,0.28118639936672885,0.27084597054194354
74.0,0.3352573970751621,0.3456395473969355
75.0,0.3879880092700622,0.4605410730461184
76.0,0.44612554837351565,0.6140992436230522
77.0,0.514883411902933,0.7635230159569011
78.0,0.5841830572970755,0.882553491154059
79.0,0.6292682892463127,0.9457248171827913
80.0,0.6776376084269751,0.936812109766566
81.0,0.5903387433333204,0.7769161890185291
82.0,0.3114035767631421,0.3583795971291722
83.0,0.037481794174116026,0.08774361265608768
84.0,0.08726840340227056,0.10367209510450488
85.0,0.18899916195656313,0.15502686065907978
